105,santa,Test12345#,1999-12-31 23:00:00.000000 +00:00,santa,"",2022-11-29 11:49:13.533253 +00:00
2,hans,a123456789*,1999-09-07 22:00:00.000000 +00:00,default,"",2022-11-28 17:06:50.150204 +00:00
1,andy,a123456789*,1999-01-19 23:00:00.000000 +00:00,andy,Hallo mein Name ist Andy :),2022-11-28 01:05:06.047110 +00:00
3,bob,a123456789*,2000-07-06 22:00:00.000000 +00:00,default,"",2022-11-28 18:22:49.442330 +00:00
52,marylovett,JxhEQnvQy5,1961-08-19 23:00:00.000000 +00:00,samuellogan,Be true to yourself,2022-11-29 01:52:07.679663 +00:00
4,dreadfulBurritos8,v6km7AaPEr,1978-02-27 23:00:00.000000 +00:00,panickyZebra8,There is no retirement for an artist,2022-11-29 01:52:07.679663 +00:00
15,chadrevilla,kGK1yaCk3R,2001-06-15 22:00:00.000000 +00:00,dearCrackers3,Attitude is a little thing that makes a big difference.,2022-11-29 01:52:07.679663 +00:00
16,anxiousChile8,8DeENNC3W6,1965-07-14 23:00:00.000000 +00:00,pluckyLeopard2,Follow effective action with quiet reflection. From the quiet reflection will come even more effective action.,2022-11-29 01:52:07.679663 +00:00
18,kimberlyalan,hbeVjWYXOn,1976-09-09 23:00:00.000000 +00:00,stevenkennedy,If you want to go east,2022-11-29 01:52:07.679663 +00:00
17,christianquintero,TCCqJcwEhL,1992-09-10 22:00:00.000000 +00:00,pluckySeahorse6,There is no retirement for an artist,2022-11-29 01:52:07.679663 +00:00
19,guiltyMuesli1,x5pmaO34d7,1970-02-22 23:00:00.000000 +00:00,thrilledWeaver3,Be like the flower,2022-11-29 01:52:07.679663 +00:00
20,malorielozier,IWcvg5O4c9,1974-04-16 23:00:00.000000 +00:00,jeanettevarin,Never mistake motion for action.,2022-11-29 01:52:07.679663 +00:00
21,outlyingLapwing9,2L9xvGDAhd,1955-04-08 23:00:00.000000 +00:00,garyconey,You might well remember that nothing can bring you success but yourself.,2022-11-29 01:52:07.679663 +00:00
22,lazyUnicorn3,9NN1iqt29M,1997-09-17 22:00:00.000000 +00:00,georgeboyne,The spirit,2022-11-29 01:52:07.679663 +00:00
23,peggydavidson,CeFHxziVJf,2004-06-07 22:00:00.000000 +00:00,elizabethporter,If you have one true friend,2022-11-29 01:52:07.679663 +00:00
24,scornfulZebra2,4bFmuKL24H,1956-12-04 23:00:00.000000 +00:00,jumpyCockatoo2,The power of intuitive understanding will protect you from harm until the end of your days.,2022-11-29 01:52:07.679663 +00:00
61,glenmuscarella,3aSoP0tc4v,1992-12-27 23:00:00.000000 +00:00,brainyLizard6,I know not age,2022-11-29 01:52:07.679663 +00:00
40,tautDoughnut9,f3M5YDmQrz,1961-02-07 23:00:00.000000 +00:00,junepowell,Your attitude,2022-11-29 01:52:07.679663 +00:00
41,solidCheetah3,74YtN63fMP,1970-04-23 23:00:00.000000 +00:00,jacquelinhowe,What lies behind us and what lies before us are small matters compared to what lies within us.,2022-11-29 01:52:07.679663 +00:00
42,shamefulUnicorn0,aIyix6L1a3,2008-02-14 23:00:00.000000 +00:00,excludedMallard7,True happiness means forging a strong spirit that is undefeated,2022-11-29 01:52:07.679663 +00:00
43,barrybaker,z972ykSjI2,1993-06-03 22:00:00.000000 +00:00,madKitten5,Very little is needed to make a happy life; it is all within yourself,2022-11-29 01:52:07.679663 +00:00
44,mereBuzzard4,gGVQPLmOtU,1991-07-14 22:00:00.000000 +00:00,curiousSausage4,Action is the foundational key to all success.,2022-11-29 01:52:07.679663 +00:00
45,insecureApricots6,vh7gMJdmqt,1993-05-26 22:00:00.000000 +00:00,pridefulDingo4,Each friend represents a world in us,2022-11-29 01:52:07.679663 +00:00
46,tautAntelope5,xEUFKY4yKS,1952-06-23 23:00:00.000000 +00:00,elibenson,Our intention creates our reality.,2022-11-29 01:52:07.679663 +00:00
47,clarencegoodman,A24NedzV6n,1990-07-02 22:00:00.000000 +00:00,markphillips,Only do what your heart tells you.,2022-11-29 01:52:07.679663 +00:00
48,deborahwilliams,JovrhAhCKM,1967-08-05 23:00:00.000000 +00:00,markwright,It is never too late to be what you might have been.,2022-11-29 01:52:07.679663 +00:00
49,robertpalmore,zEP0l7Bzsq,1958-12-25 23:00:00.000000 +00:00,bruceferguson,What is necessary to change a person is to change his awareness of himself.,2022-11-29 01:52:07.679663 +00:00
50,emmaharris,8s4y1LRDrI,1975-12-17 23:00:00.000000 +00:00,amazedCaribou5,Everything that happens as it should,2022-11-29 01:52:07.679663 +00:00
51,juliabowman,K0odHyWnCS,1959-05-08 23:00:00.000000 +00:00,scottmiller,Patience and perseverance have a magical effect before which difficulties disappear and obstacles vanish.,2022-11-29 01:52:07.679663 +00:00
5,raymondsickler,iePgsREJs3,1979-01-24 23:00:00.000000 +00:00,aaronhollack,Irony is the gaiety of reflection and the joy of wisdom.,2022-11-29 01:52:07.679663 +00:00
6,carolyntyler,NldxgMm2DW,1973-05-18 23:00:00.000000 +00:00,rogerqueen,From error to error one discovers the entire truth.,2022-11-29 01:52:07.679663 +00:00
7,normamartin,e6vM71ho4w,1969-07-08 23:00:00.000000 +00:00,grizzledEggs2,There are two ways to slide easily through life: to believe everything or to doubt everything; both ways save us from thinking.,2022-11-29 01:52:07.679663 +00:00
8,besszimmerman,jwbb8vvndW,1961-07-25 23:00:00.000000 +00:00,risatroutner,I'm astounded by people who want to 'know' the universe when it's hard enough to find your way around Chinatown.,2022-11-29 01:52:07.679663 +00:00
